Municipio,Latitud,Longitud,Activo,Fallecido,Recuperado,ultima_actualizacion
Tigre,-34.3985003615109,-58.609368261402,443.0,14.0,87.0,23/06/2020
Tordillo,-36.4119720277659,-57.221336882069394,0.0,0.0,0.0,23/06/2020
Tornquist,-38.2635075038085,-62.1863093528582,0.0,0.0,0.0,23/06/2020
Trenque Lauquen,-36.0920017242137,-62.6424511648914,0.0,0.0,2.0,23/06/2020
Tres Arroyos,-38.472268616492,-60.2678776960123,2.0,0.0,1.0,23/06/2020
Tres de Febrero,-34.6014083588854,-58.563724899993495,683.0,21.0,81.0,23/06/2020
Tres Lomas,-36.4900135652176,-62.8771704257533,0.0,0.0,0.0,23/06/2020
Vicente López,-34.5272688983062,-58.50723754343411,236.0,8.0,82.0,23/06/2020
Villa Gesell,-37.362127746240894,-57.060481759591205,1.0,0.0,0.0,23/06/2020
Villarino,-39.141474800140706,-62.8606086877045,3.0,0.0,9.0,23/06/2020
Zárate,-34.0063416358159,-59.1460474396042,82.0,2.0,21.0,23/06/2020
