fecha,2020-05-09,2020-05-13
2020-02-19,1,1
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,2
2020-02-28,2,2
2020-02-29,1,1
2020-03-01,3,3
2020-03-02,3,3
2020-03-03,5,5
2020-03-04,7,7
2020-03-05,7,7
2020-03-06,16,16
2020-03-07,4,4
2020-03-08,14,14
2020-03-09,20,20
2020-03-10,18,18
2020-03-11,30,30
2020-03-12,42,42
2020-03-13,42,43
2020-03-14,52,53
2020-03-15,57,57
2020-03-16,82,82
2020-03-17,90,90
2020-03-18,78,78
2020-03-19,109,109
2020-03-20,126,126
2020-03-21,139,138
2020-03-22,86,86
2020-03-23,123,123
2020-03-24,102,103
2020-03-25,102,102
2020-03-26,83,83
2020-03-27,81,81
2020-03-28,72,72
2020-03-29,72,72
2020-03-30,86,86
2020-03-31,75,75
2020-04-01,92,93
2020-04-02,80,80
2020-04-03,83,83
2020-04-04,70,70
2020-04-05,46,46
2020-04-06,91,91
2020-04-07,82,83
2020-04-08,98,99
2020-04-09,97,97
2020-04-10,105,104
2020-04-11,112,112
2020-04-12,87,86
2020-04-13,108,107
2020-04-14,107,107
2020-04-15,96,96
2020-04-16,101,103
2020-04-17,115,117
2020-04-18,119,116
2020-04-19,97,101
2020-04-20,151,155
2020-04-21,129,131
2020-04-22,155,157
2020-04-23,112,114
2020-04-24,140,145
2020-04-25,134,139
2020-04-26,103,112
2020-04-27,114,120
2020-04-28,109,113
2020-04-29,103,113
2020-04-30,122,136
2020-05-01,125,166
2020-05-02,96,127
2020-05-03,109,151
2020-05-04,117,153
2020-05-05,120,201
2020-05-06,92,166
2020-05-07,69,166
2020-05-08,37,186
2020-05-09,6,114
2020-05-10,,204
2020-05-11,,94
2020-05-12,,66
2020-05-13,,8
